timestamp,stmp_vwmp (upper),lmax_vwmp (upper),gmni_vwmp (upper),itbi_vwmp (upper),okcn_vwmp (upper),bfnx_vwmp (upper),btrx_vwmp (upper),bfly_vwmp (upper),bnus_vwmp (upper),cbse_vwmp (upper),krkn_vwmp (upper),all_vwmp (upper)
2021-02-24 11:35:00,50658.97,50665.0,50740.49,50680.25,50723.71,50649.0,50665.4,50702.08,50625.01,50686.13,50695.1,50686.13
2021-02-24 11:40:00,50409.18,50471.5,50501.1,50523.0,50624.4,50570.78,50475.81,,50551.16,50379.3,50532.9,50532.9
2021-02-24 11:45:00,50385.93,50376.0,50352.0,50455.25,50403.39,50368.0,50350.0,,50395.52,50400.0,50447.2,50400.0
2021-02-24 11:50:00,50288.0,50271.5,50330.07,50419.0,50336.89,50287.02,50285.81,,50340.66,50285.11,50366.0,50366.0
2021-02-24 11:55:00,50340.02,50359.5,50360.62,50400.0,50400.28,50275.0,50388.82,,50377.41,50340.56,50392.2,50392.2
2021-02-24 12:00:00,50600.0,50563.5,50580.3,50435.25,50606.12,50509.0,50500.0,,50415.83,50529.3,50599.4,50599.4
2021-02-24 12:05:00,50621.01,50535.5,50600.0,50565.75,50775.53,50474.0,50522.91,,50619.88,50668.54,50738.2,50738.2
2021-02-24 12:10:00,50758.39,50552.5,50476.02,50460.5,50837.38,50471.0,50762.71,,50392.0,50775.01,50778.4,50758.39
2021-02-24 12:15:00,50831.23,50773.5,50847.65,50840.0,50979.14,50765.0,50921.53,,50949.11,50921.49,50912.0,50912.0
2021-02-24 12:20:00,50824.93,51007.0,50949.07,50802.5,50825.41,50974.0,50965.53,,51082.44,51046.19,50801.9,50949.07
2021-02-24 12:25:00,51020.39,51171.5,51000.0,51104.5,51141.44,51085.0,51111.62,51078.18,51091.91,51162.9,51062.2,51020.39
2021-02-24 12:30:00,51248.31,51261.5,51131.47,51212.75,51121.34,51083.0,51180.45,,51210.54,51258.45,51218.9,51218.9
2021-02-24 12:35:00,51292.65,51244.5,51234.95,51200.0,51174.06,51116.0,51254.73,51229.87,51210.84,51181.13,51136.3,51136.3
2021-02-24 12:40:00,51161.29,51100.18,51169.52,50940.0,50925.45,51095.0,50982.2,,51006.61,51050.14,50931.0,50931.0
2021-02-24 12:45:00,51013.95,51003.0,50978.17,51000.0,50995.66,50998.0,50940.23,,50944.8,50929.0,51000.0,51000.0
2021-02-24 12:50:00,50947.43,50968.0,51001.0,51029.25,50942.47,50956.0,50889.36,,50883.03,50988.21,50874.4,50874.4
2021-02-24 12:55:00,50725.65,50700.0,50736.13,50829.5,50893.71,50719.0,50768.02,,50879.67,50731.35,50676.4,50676.4
2021-02-24 13:00:00,50908.52,51048.5,50879.38,50848.5,51105.22,50997.0,50761.77,,51000.0,50858.38,50825.0,50825.0
2021-02-24 13:05:00,50590.03,50608.0,50571.0,50635.75,50560.59,50513.0,50666.77,,50963.94,50700.3,50600.0,50600.0
2021-02-24 13:10:00,50467.64,50556.0,50505.54,50461.75,50622.95,50529.0,50546.01,50500.0,50452.76,50500.26,50504.6,50462.5
2021-02-24 13:15:00,49686.93,50024.5,49890.31,49755.5,49863.2,49827.0,50400.0,50124.32,49750.8,49894.41,50000.0,50000.0
2021-02-24 13:20:00,49522.08,49840.0,49824.87,49911.0,49801.62,49863.79,49834.91,49560.79,49828.87,49579.24,49597.1,49958.4
2021-02-24 13:25:00,49575.01,49881.75,49743.1,49849.75,49897.84,49582.0,49977.01,,49692.0,49910.11,49757.9,49757.9
2021-02-24 13:30:00,49634.81,49723.0,49571.06,49575.0,49305.75,49089.0,49122.71,49209.12,49220.0,49294.48,49324.5,49324.5
2021-02-24 13:35:00,49248.84,49220.75,49358.69,49422.5,49418.1,49322.0,49451.22,,49481.95,49434.86,49335.0,49451.22
2021-02-24 13:40:00,49287.0,49475.5,49356.33,49449.5,49459.57,49419.0,49297.64,49381.93,49354.88,49359.29,49446.7,49446.7
2021-02-24 13:45:00,49789.87,49320.5,49800.0,49360.25,49853.25,49711.0,49771.98,49637.76,49700.0,49459.35,49699.0,49699.0
2021-02-24 13:50:00,49701.19,49685.5,49765.83,49780.0,49691.66,49700.0,49677.95,49699.0,49730.65,49703.91,49730.2,49703.91
2021-02-24 13:55:00,49495.05,49459.5,49445.61,49580.25,49614.56,49462.0,49468.71,,49444.0,49485.0,49461.3,49485.0
2021-02-24 14:00:00,49519.1,49623.0,49656.23,49697.75,49782.51,49688.0,49746.38,,49779.05,49679.08,49678.2,49678.2
2021-02-24 14:05:00,49674.56,49774.75,49546.58,49345.0,49692.57,49661.0,49531.04,49700.0,49758.76,49372.43,49412.4,49412.4
2021-02-24 14:10:00,49288.89,49300.0,49299.75,49372.25,49474.41,49212.0,49289.38,49347.5,49211.0,49259.02,49345.0,49345.0
2021-02-24 14:15:00,49622.45,49568.5,49394.83,49573.0,49401.58,49342.0,49677.06,49516.91,49557.66,49551.94,49580.1,49449.4
2021-02-24 14:20:00,49408.63,49620.0,49500.0,49540.75,49407.05,49616.0,49550.72,,49592.02,49563.41,49449.4,49449.4
2021-02-24 14:25:00,49442.18,49459.0,49335.01,49502.5,49504.47,49399.0,49541.39,,49430.0,49484.78,49386.8,49386.8
2021-02-24 14:30:00,49539.4,49544.5,49640.6,49390.5,49427.19,49560.0,49529.67,,49490.4,49556.31,49430.1,49430.1
2021-02-24 14:35:00,49369.95,49233.5,49275.0,49384.25,49209.13,49340.0,49267.7,49344.0,49348.92,49384.28,49342.0,49201.0
2021-02-24 14:40:00,48832.43,49260.0,48800.0,49081.75,49148.69,48806.0,49067.8,48888.0,49000.0,49282.05,48975.8,48975.8
2021-02-24 14:45:00,48840.77,49190.0,49100.0,49109.75,49215.95,48912.0,48818.88,49200.75,49151.96,49227.34,49200.0,49200.0
2021-02-24 14:50:00,48981.6,48904.0,49000.0,49105.25,49095.54,49052.89,49127.39,49026.73,49056.23,49069.93,49069.9,49069.9
2021-02-24 14:55:00,49313.61,49090.0,49299.0,49255.0,49254.63,49160.0,49415.53,,49247.0,49317.3,49149.8,49149.8
2021-02-24 15:00:00,49568.04,49549.5,49465.92,49589.5,49385.65,49394.0,49535.88,,49588.49,49527.27,49615.1,49615.1
2021-02-24 15:05:00,49194.52,49454.5,49450.57,49460.0,49465.48,49297.0,49462.57,,49469.53,49305.11,49236.0,49236.0
